datetime,pm1,pm25,relativehumidity,temperature,um003
2026-03-02 20:00:00+07:00,18.7,31.5,57.0,24.8,3614.0
2026-03-02 21:00:00+07:00,16.9,28.8,63.0,24.5,3243.0
2026-03-02 22:00:00+07:00,15.6,26.4,63.0,24.5,2981.0
2026-03-02 23:00:00+07:00,15.6,26.3,63.0,24.4,2988.0
2026-03-03 00:00:00+07:00,18.5,30.2,63.0,24.0,3536.0
2026-03-03 01:00:00+07:00,22.0,35.9,62.0,23.8,4442.0
2026-03-03 02:00:00+07:00,24.0,39.4,61.0,23.7,5021.0
2026-03-03 03:00:00+07:00,24.2,39.9,60.0,23.5,5096.0
2026-03-03 04:00:00+07:00,23.7,39.2,59.0,23.4,4934.0
2026-03-03 05:00:00+07:00,22.0,36.3,58.0,23.4,4438.0
2026-03-03 06:00:00+07:00,17.9,30.1,57.0,23.3,3404.0
2026-03-03 07:00:00+07:00,12.8,21.9,57.0,23.4,2476.0
2026-03-03 08:00:00+07:00,8.7,15.3,57.0,23.5,1778.0
2026-03-03 09:00:00+07:00,6.8,12.2,55.0,23.4,1458.0
2026-03-03 10:00:00+07:00,6.0,11.0,52.0,23.4,1323.0
2026-03-03 11:00:00+07:00,7.1,13.2,51.0,23.5,1533.0
2026-03-03 12:00:00+07:00,18.5,33.1,46.0,23.8,3784.0
2026-03-03 13:00:00+07:00,21.1,37.0,48.0,25.2,4208.0
2026-03-03 14:00:00+07:00,21.7,38.1,50.0,25.6,4472.0
2026-03-03 15:00:00+07:00,25.5,43.1,53.0,25.7,5665.0
2026-03-03 16:00:00+07:00,21.8,37.5,53.0,25.8,4472.0
2026-03-03 17:00:00+07:00,22.6,38.6,61.0,25.6,4727.0
2026-03-03 18:00:00+07:00,22.2,38.5,67.0,26.1,4632.0
2026-03-03 19:00:00+07:00,20.6,36.1,66.0,26.2,4094.0
2026-03-03 20:00:00+07:00,23.2,41.2,58.0,25.8,4922.0
2026-03-03 21:00:00+07:00,23.4,41.6,57.0,25.8,4989.0
2026-03-03 22:00:00+07:00,24.0,42.5,59.0,26.0,5160.0
2026-03-03 23:00:00+07:00,22.2,39.8,60.0,25.9,4639.0
2026-03-04 00:00:00+07:00,21.3,38.1,58.0,25.7,4343.0
2026-03-04 01:00:00+07:00,20.8,36.7,57.0,25.5,4146.0
2026-03-04 02:00:00+07:00,19.5,34.5,55.0,25.5,3821.0
2026-03-04 03:00:00+07:00,18.2,32.6,55.0,25.6,3522.0
