datetime,pm1,pm25,relativehumidity,temperature,um003,hour_diff,segmen_baru,segmen_id
2026-03-09 15:00:00+07:00,21.5,36.4,41.0,26.4,4331.0,45.0,True,40
2026-03-09 16:00:00+07:00,18.7,31.9,42.0,26.8,3665.0,1.0,False,40
2026-03-09 17:00:00+07:00,17.1,29.7,46.0,27.1,3323.0,1.0,False,40
2026-03-09 18:00:00+07:00,20.3,33.9,50.0,26.3,3946.0,1.0,False,40
2026-03-09 19:00:00+07:00,19.5,32.4,51.0,26.7,3791.0,1.0,False,40
2026-03-09 20:00:00+07:00,17.8,30.1,52.0,27.2,3421.0,1.0,False,40
2026-03-09 21:00:00+07:00,17.8,29.3,52.0,27.5,3374.0,1.0,False,40
2026-03-09 22:00:00+07:00,16.5,28.2,54.0,27.3,3164.0,1.0,False,40
2026-03-09 23:00:00+07:00,15.7,26.5,53.0,27.0,2987.0,1.0,False,40
2026-03-10 00:00:00+07:00,13.6,23.9,53.0,27.3,2686.0,1.0,False,40
2026-03-10 01:00:00+07:00,12.8,22.3,54.0,27.4,2533.0,1.0,False,40
2026-03-10 02:00:00+07:00,11.8,20.5,55.0,26.9,2359.0,1.0,False,40
2026-03-10 03:00:00+07:00,10.5,18.4,56.0,26.3,2125.0,1.0,False,40
2026-03-10 04:00:00+07:00,9.8,17.3,56.0,26.3,1997.0,1.0,False,40
2026-03-10 05:00:00+07:00,8.7,15.4,55.0,26.3,1813.0,1.0,False,40
2026-03-10 06:00:00+07:00,8.0,14.3,55.0,26.2,1721.0,1.0,False,40
2026-03-10 07:00:00+07:00,8.0,14.3,55.0,26.2,1699.0,1.0,False,40
2026-03-10 08:00:00+07:00,8.1,14.4,55.0,26.1,1717.0,1.0,False,40
2026-03-10 09:00:00+07:00,7.2,13.0,54.0,26.0,1570.0,1.0,False,40
2026-03-10 10:00:00+07:00,4.6,8.8,54.0,25.9,1113.0,1.0,False,40
2026-03-10 11:00:00+07:00,2.9,6.0,54.0,25.9,822.0,1.0,False,40
2026-03-10 12:00:00+07:00,2.1,4.7,49.0,25.5,693.0,1.0,False,40
2026-03-10 13:00:00+07:00,1.9,4.6,51.0,26.1,671.0,1.0,False,40
